,Gender,Race,Age,County,Current Facility,Offense Code,TDCJ Offense,TDCJ Number,Sentence (Years),Last Parole Decision,Parole Review Status,Parole Eligibility (Years),Sentence Left (Years)
31492,1,6,50,213,0,36990009,9923,1858628,15.0,0,0,1,12
31497,1,6,46,161,47,10990004,780,1471906,20.0,0,0,3,6
31498,1,6,45,42,40,11990004,1329,1734024,15.0,1,0,3,4
31502,1,1,47,204,74,11990003,1089,870732,30.0,0,0,4,27
31504,1,1,45,99,53,12990002,864,804166,25.0,0,0,10,3
31505,1,6,46,215,13,49990004,4369,1461721,20.0,0,0,9,9
31506,1,6,45,13,55,52130005,3729,2301954,8.0,0,0,1,6
31508,1,2,44,66,32,22990002,2957,2232643,8.0,1,0,2,5
31513,1,1,46,206,86,35990015,7701,2262491,15.0,0,0,1,12
31517,1,2,46,214,16,48010020,4652,2271713,20.0,0,0,0,18
31519,1,6,44,105,3,35990016,7719,2323075,5.0,0,1,1,4
31521,1,2,44,68,26,9150000,7143,771956,50.0,1,0,1,24
31525,0,6,47,55,100,26040026,5182,1864585,10.0,1,0,3,16
31528,1,2,52,14,89,54040032,6525,2206140,5.0,0,0,1,1
31530,1,2,45,213,84,13990075,2154,1932461,10.0,0,1,2,3
31532,1,6,50,241,32,35990003,6628,2029367,20.0,0,1,4,14
31533,1,6,48,55,40,36990025,10003,1725457,20.0,0,0,1,9
31534,1,2,51,232,1,11990001,10012,2164339,6.0,0,0,2,1
31535,1,1,44,206,86,35990156,6861,1848493,40.0,1,0,4,41
31536,1,1,50,90,8,54040011,4081,2318807,4.0,0,1,1,3
31539,1,1,70,120,9,11990004,1120,1318414,30.0,0,0,2,13
31542,1,2,44,126,12,35990003,6751,1866397,50.0,0,1,1,41
31543,1,2,44,35,26,13990076,2498,2089220,15.0,0,0,4,9
31545,1,2,44,160,73,54040011,4069,2089842,10.0,0,0,3,5
31548,1,2,44,193,76,35990003,6628,2159263,9.0,0,0,3,4
31549,1,1,42,219,12,54040032,6490,1784684,15.0,0,0,3,5
31550,1,1,46,20,30,35990003,6652,2300224,10.0,0,1,1,8
31551,1,6,46,95,3,22990001,2892,1908691,35.0,0,0,4,27
31552,1,6,48,13,35,36010001,5826,2178931,5.0,1,0,1,1
31554,1,2,44,12,75,9150000,7143,789863,30.0,0,0,10,5
31555,1,6,53,19,24,54040011,4069,2330891,4.0,1,0,1,3
31556,1,1,45,120,82,13990075,5193,2109111,5.0,0,0,2,2
31559,1,2,44,59,44,35990003,7852,1669117,15.0,1,0,1,11
31560,1,1,44,235,78,35990003,6938,2098024,10.0,1,0,1,7
31561,1,2,43,227,13,13150005,82,2240416,4.0,0,0,1,1
31563,1,2,46,227,85,35990002,6937,2306029,15.0,0,0,0,11
31564,1,2,45,127,13,48010020,4690,2255327,8.0,0,0,2,5
31565,0,1,45,69,62,26040042,5426,2173092,10.0,0,1,3,6
31566,1,1,44,90,38,54040011,4081,2325827,5.0,1,0,0,4
31567,1,1,44,107,99,35990016,7719,2204620,30.0,0,1,1,26
31571,1,1,44,55,76,13150005,520,2327442,3.0,1,0,0,1
31575,1,6,42,68,25,12990002,864,692292,30.0,0,0,4,7
31576,1,2,44,235,49,52030024,11029,1842281,25.0,0,1,4,15
31578,1,6,45,106,37,9990001,7143,855208,30.0,1,0,8,7
31579,1,1,44,183,86,9990001,7143,934816,50.0,0,0,0,25
31583,1,6,45,44,16,50990041,7222,2303754,7.0,0,0,1,5
31584,1,1,43,165,93,35990016,7608,2116179,45.0,0,0,0,40
31585,1,1,45,55,73,12990002,864,720881,35.0,0,0,9,11
31587,1,6,55,219,46,9990019,7143,776878,40.0,0,0,5,15
31589,1,2,45,99,65,9990019,7143,1315440,25.0,0,0,4,9
31592,0,1,44,165,56,52120009,11122,2331563,8.0,0,0,0,7
31594,1,6,47,214,88,35990003,8557,2266230,10.0,0,1,1,7
31597,1,1,44,77,13,12990002,864,1326944,25.0,0,0,5,7
31600,1,6,47,72,40,11990004,1120,1447027,20.0,0,0,5,5
31601,1,1,45,82,93,13990075,2154,2325896,4.0,0,0,2,2
31605,1,6,45,48,21,22990003,3000,2289777,5.0,0,0,2,3
31607,0,1,45,20,68,35990020,7770,2131498,15.0,0,0,3,10
31609,1,2,43,14,1,22990001,2897,2304437,7.0,0,0,1,5
31610,1,1,46,99,63,35990016,9278,1141587,60.0,0,0,4,41
31611,1,6,44,159,80,54040011,4108,2343531,15.0,0,0,1,13
31612,1,1,55,222,73,9990019,7143,1140615,35.0,0,0,2,16
31614,1,1,45,59,49,48010020,4652,2269351,8.0,0,0,3,4
31615,1,1,44,99,46,12990002,864,820351,25.0,0,1,12,1
31616,1,6,44,45,88,36990007,5072,2212824,5.0,0,1,3,2
31618,1,1,62,99,49,9150000,7143,697578,35.0,0,0,10,8
31619,1,1,52,82,44,22990002,2957,2343745,4.0,0,1,1,3
31621,1,6,47,179,97,25890002,5366,2314467,12.0,0,0,1,10
